date;open;high;low;close;volume;;;
12/25/13;17,737;17,799;17,617;17,668;167554940;;;
12/26/13;17,681;17,725;17,534;17,551;204008140;;;
12/27/13;17,548;17,566;17,414;17,432;225885268;;;
12/30/13;17,35;17,432;17,19;17,259;253630888;;;
12/31/13;17,248;17,469;17,242;17,461;223277488;;;
01/01/14;17,248;17,469;17,242;17,461;223277488;;;
01/02/14;17,295;17,337;17,181;17,215;235167828;;;
01/03/14;17,207;17,233;16,82;16,837;393215480;;;
01/06/14;16,727;17,018;16,608;16,929;413436604;;;
01/07/14;16,941;16,992;16,742;16,808;317731064;;;
01/08/14;16,77;16,98;16,766;16,914;258746740;;;
01/09/14;17,018;17,02;16,662;16,698;279620796;;;
01/10/14;16,801;16,832;16,53;16,587;305282656;;;
01/13/14;16,493;16,885;16,492;16,674;379443372;;;
01/14/14;16,751;17,016;16,734;17,006;334937484;;;
01/15/14;17,228;17,435;17,17;17,347;393890476;;;
01/16/14;17,271;17,331;17,17;17,25;229885320;;;
01/17/14;17,164;17,182;16,804;16,828;433706756;;;
01/20/14;17,164;17,182;16,804;16,828;433706756;;;
01/21/14;16,838;17,12;16,82;17,089;329022176;;;
01/22/14;17,146;17,345;17,05;17,165;380877336;;;
01/23/14;17,116;17,32;16,956;17,31;403913384;;;
01/24/14;17,242;17,293;16,955;16,996;433537748;;;
01/27/14;17,12;17,267;16,986;17,134;576876608;;;
01/28/14;15,834;16,029;15,626;15,764;1067334324;;;
01/29/14;15,685;15,791;15,519;15,585;503771184;;;
01/30/14;15,641;15,764;15,459;15,555;679051156;;;
01/31/14;15,412;15,609;15,361;15,58;465345776;;;
02/03/14;15,643;15,802;15,54;15,609;402483088;;;
02/04/14;15,744;15,856;15,648;15,835;377094172;;;
02/05/14;15,766;16,037;15,756;15,954;329288624;;;
02/06/14;15,97;16,078;15,899;16,047;257988892;;;
02/07/14;16,324;16,373;16,199;16,271;374554404;;;
02/10/14;16,239;16,657;16,219;16,563;345804088;;;
02/11/14;16,613;16,837;16,579;16,781;282689008;;;
02/12/14;16,812;16,894;16,696;16,78;308508256;;;
02/13/14;16,74;17,059;16,726;17,046;307840624;;;
02/14/14;16,985;17,095;16,945;17,032;273872144;;;
02/17/14;16,985;17,095;16,945;17,032;273872144;;;
02/18/14;17,095;17,258;17,083;17,095;261224992;;;
02/19/14;17,056;17,123;16,73;16,825;314217680;;;
02/20/14;16,688;16,813;16,563;16,63;306116412;;;
02/21/14;16,682;16,737;16,425;16,446;279028988;;;
02/24/14;16,38;16,592;16,357;16,518;289459800;;;
02/25/14;16,575;16,581;16,312;16,346;232989400;;;
02/26/14;16,394;16,438;16,143;16,198;276525144;;;
02/27/14;16,192;16,556;16,157;16,521;302229284;;;
02/28/14;16,565;16,68;16,348;16,477;372298612;;;
03/03/14;16,388;16,615;16,369;16,524;239137976;;;
03/04/14;16,626;16,677;16,524;16,633;259539336;;;
03/05/14;16,623;16,743;16,567;16,668;200262076;;;
03/06/14;16,682;16,733;16,535;16,618;185692444;;;
03/07/14;16,628;16,656;16,471;16,608;221660964;;;
03/10/14;16,543;16,699;16,542;16,623;178765720;;;
03/11/14;16,765;16,868;16,675;16,785;280795396;;;
03/12/14;16,735;16,824;16,657;16,801;200781840;;;
03/13/14;16,827;16,897;16,568;16,615;257742436;;;
03/14/14;16,556;16,622;16,375;16,428;237197968;;;
03/17/14;16,522;16,593;16,464;16,492;199544296;;;
03/18/14;16,466;16,656;16,444;16,638;209647452;;;
03/19/14;16,665;16,79;16,563;16,634;224755832;;;
03/20/14;16,591;16,678;16,511;16,554;208398148;;;
03/21/14;16,655;16,712;16,479;16,684;374448676;;;
03/24/14;16,858;16,923;16,753;16,882;355699484;;;
03/25/14;16,954;17,087;16,895;17,064;282293424;;;
03/26/14;17,112;17,189;16,872;16,9;299768896;;;
03/27/14;16,908;16,954;16,755;16,828;222030704;;;
03/28/14;16,855;16,874;16,727;16,809;200564252;;;
03/31/14;16,883;16,933;16,78;16,805;168668752;;;
04/01/14;16,837;16,966;16,806;16,959;200758740;;;
04/02/14;16,982;17,016;16,916;16,987;180419484;;;
04/03/14;16,951;16,986;16,833;16,869;162592444;;;
04/04/14;16,901;16,907;16,612;16,651;275249940;;;
04/07/14;16,532;16,622;16,34;16,39;289850120;;;
04/08/14;16,444;16,473;16,24;16,389;243887532;;;
04/09/14;16,364;16,61;16,344;16,604;206170888;;;
04/10/14;16,616;16,664;16,38;16,39;239651272;;;
04/11/14;16,25;16,37;16,192;16,269;271900048;;;
04/14/14;16,341;16,349;16,194;16,334;205780708;;;
04/15/14;16,29;16,333;16,01;16,217;266490308;;;
04/16/14;16,22;16,315;16,098;16,25;214931976;;;
04/17/14;16,281;16,524;16,256;16,436;284426884;;;
04/18/14;16,281;16,524;16,256;16,436;284426884;;;
04/21/14;16,448;16,661;16,405;16,631;182675724;;;
04/22/14;16,541;16,651;16,485;16,647;202657812;;;
04/23/14;16,565;16,63;16,42;16,43;394941036;;;
04/24/14;17,791;17,847;17,556;17,777;759912328;;;
04/25/14;17,675;17,909;17,658;17,907;390275256;;;
04/28/14;17,934;18,653;17,927;18,601;669486720;;;
04/29/14;18,59;18,66;18,458;18,546;337378692;;;
04/30/14;18,556;18,768;18,467;18,476;456883532;;;
05/01/14;18,535;18,623;18,359;18,519;244209672;;;
05/02/14;18,546;18,604;18,464;18,554;191514288;;;
05/05/14;18,477;18,817;18,473;18,816;287067032;;;
05/06/14;18,842;18,924;18,611;18,611;374565492;;;
05/07/14;18,637;18,701;18,402;18,546;282863952;;;
05/08/14;18,521;18,715;18,463;18,513;230297452;;;
05/09/14;18,404;18,458;18,272;18,436;291597992;;;
05/12/14;18,497;18,691;18,494;18,665;213298708;;;
05/13/14;18,639;18,719;18,598;18,694;159738376;;;
05/14/14;18,653;18,809;18,631;18,698;166403384;;;
05/15/14;18,724;18,784;18,514;18,539;230846924;;;
05/16/14;18,533;18,813;18,431;18,812;276367336;;;
05/19/14;18,823;19,122;18,807;19,035;317756096;;;
05/20/14;19,033;19,092;18,914;19,039;234835944;;;
05/21/14;19,011;19,102;18,956;19,09;196999656;;;
